method,path,data_class,minimum_role,operation_id
GET,/api/v1/alarms/current,operational-sensitive,viewer,current
GET,/api/v1/alarms/dashboard,operational-sensitive,viewer,dashboard
PUT,/api/v1/alarms/dashboard-layout,business-write-privileged,engineer,save_dashboard_layout
POST,/api/v1/alarms/export-diagnosis,business-write-privileged,operator,export_diagnosis
GET,/api/v1/alarms/exports/{file_id},operational-sensitive,viewer,download_alarm_export
GET,/api/v1/alarms/history,operational-sensitive,viewer,history
POST,/api/v1/alarms/jump-can-frame,business-write-privileged,viewer,jump_can_frame
GET,/api/v1/alarms/overrides,operational-sensitive,viewer,list_overrides
POST,/api/v1/alarms/overrides/{override_id}/approve,business-write-privileged,admin,approve_override
POST,/api/v1/alarms/overrides/{override_id}/revoke,business-write-privileged,admin,revoke_override
POST,/api/v1/alarms/{alarm_id}/ack,business-write-privileged,operator,ack
POST,/api/v1/alarms/{alarm_id}/override-request,business-write-privileged,engineer,override
GET,/api/v1/audit/operator-actions,operational-sensitive,admin,actions
POST,/api/v1/auth/accounts,identity-sensitive,admin,create_account
POST,/api/v1/auth/bootstrap,identity-credential,public,bootstrap
GET,/api/v1/auth/bootstrap/status,identity-credential,public,bootstrap_status
POST,/api/v1/auth/lock,identity-sensitive,viewer,lock
POST,/api/v1/auth/login,identity-credential,public,login
POST,/api/v1/auth/logout,identity-sensitive,viewer,logout
GET,/api/v1/auth/me,identity-sensitive,viewer,me
GET,/api/v1/auth/roles,identity-sensitive,viewer,auth_roles
GET,/api/v1/auth/sessions,identity-sensitive,admin,sessions
POST,/api/v1/auth/sessions/{session_id}/revoke,identity-sensitive,admin,revoke_session
POST,/api/v1/auth/unlock,identity-credential,public,unlock
POST,/api/v1/can/channels/self-test,motion-or-transport-privileged,engineer,self_test
GET,/api/v1/can/channels/status,operational-sensitive,viewer,channel_status
POST,/api/v1/can/channels/stop-all,motion-or-transport-privileged,engineer,stop_all
POST,/api/v1/can/channels/{channel}/connect,motion-or-transport-privileged,engineer,connect
POST,/api/v1/can/channels/{channel}/disconnect,motion-or-transport-privileged,engineer,disconnect
GET,/api/v1/can/frames,operational-sensitive,viewer,frames
POST,/api/v1/can/frames/clear-display,motion-or-transport-privileged,operator,clear_display
GET,/api/v1/can/frames/latest,operational-sensitive,viewer,latest_frames
GET,/api/v1/can/frames/latest/{can_id}/decoded,operational-sensitive,viewer,latest_decoded
GET,/api/v1/can/frames/{frame_id}/decoded,operational-sensitive,viewer,decoded
GET,/api/v1/can/runtime-metrics,operational-sensitive,viewer,runtime_metrics
GET,/api/v1/can/statistics,operational-sensitive,viewer,statistics
GET,/api/v1/can/statistics/monitor,operational-sensitive,viewer,monitor_statistics
GET,/api/v1/config,operational-sensitive,viewer,get_config
PUT,/api/v1/config,configuration-privileged,engineer,put_config
POST,/api/v1/config/apply,configuration-privileged,admin,apply_config
GET,/api/v1/config/channels,operational-sensitive,viewer,channels_config
PUT,/api/v1/config/channels,configuration-privileged,admin,update_channels
POST,/api/v1/config/channels/restore-defaults,configuration-privileged,admin,restore_channels_defaults
GET,/api/v1/config/export,operational-sensitive,admin,export_config
GET,/api/v1/config/history,operational-sensitive,viewer,config_history
POST,/api/v1/config/import,configuration-privileged,admin,import_config
POST,/api/v1/config/restore-safe-defaults,configuration-privileged,admin,restore_safe_defaults
GET,/api/v1/config/system-dashboard,operational-sensitive,viewer,system_dashboard
POST,/api/v1/control/121/preview,motion-or-transport-privileged,engineer,control_preview
POST,/api/v1/control/121/send-once,motion-or-transport-privileged,engineer,send_once
POST,/api/v1/control/121/start-periodic,motion-or-transport-privileged,engineer,start_periodic
POST,/api/v1/control/121/stop,motion-or-transport-privileged,engineer,stop
POST,/api/v1/control/emergency-stop,motion-or-transport-privileged,operator,emergency_stop
POST,/api/v1/control/emergency-stop/release,motion-or-transport-privileged,engineer,release
GET,/api/v1/control/interlock-status,operational-sensitive,viewer,interlock_status
GET,/api/v1/control/manual-curves,operational-sensitive,viewer,manual_curves
GET,/api/v1/control/manual-feedback,operational-sensitive,viewer,manual_feedback
POST,/api/v1/control/reset-defaults,motion-or-transport-privileged,engineer,reset_defaults
