method,path,operation_id,has_request_body,response_codes
GET,/api/v1/alarms/current,current_api_v1_alarms_current_get,False,200
GET,/api/v1/alarms/dashboard,dashboard_api_v1_alarms_dashboard_get,False,200
POST,/api/v1/alarms/export-diagnosis,export_diagnosis_api_v1_alarms_export_diagnosis_post,True,"200,422"
GET,/api/v1/alarms/history,history_api_v1_alarms_history_get,False,200
POST,/api/v1/alarms/jump-can-frame,jump_can_frame_api_v1_alarms_jump_can_frame_post,True,"200,422"
POST,/api/v1/alarms/{alarm_id}/ack,ack_api_v1_alarms__alarm_id__ack_post,True,"200,422"
POST,/api/v1/alarms/{alarm_id}/override-request,override_api_v1_alarms__alarm_id__override_request_post,True,"200,422"
GET,/api/v1/audit/operator-actions,actions_api_v1_audit_operator_actions_get,False,200
GET,/api/v1/auth/roles,auth_roles_api_v1_auth_roles_get,False,200
POST,/api/v1/can/channels/self-test,self_test_api_v1_can_channels_self_test_post,False,200
GET,/api/v1/can/channels/status,channel_status_api_v1_can_channels_status_get,False,200
POST,/api/v1/can/channels/stop-all,stop_all_api_v1_can_channels_stop_all_post,False,200
POST,/api/v1/can/channels/{channel}/connect,connect_api_v1_can_channels__channel__connect_post,False,"200,422"
POST,/api/v1/can/channels/{channel}/disconnect,disconnect_api_v1_can_channels__channel__disconnect_post,False,"200,422"
GET,/api/v1/can/frames,frames_api_v1_can_frames_get,False,"200,422"
POST,/api/v1/can/frames/clear-display,clear_display_api_v1_can_frames_clear_display_post,False,200
GET,/api/v1/can/frames/latest,latest_frames_api_v1_can_frames_latest_get,False,"200,422"
GET,/api/v1/can/frames/latest/{can_id}/decoded,latest_decoded_api_v1_can_frames_latest__can_id__decoded_get,False,"200,422"
GET,/api/v1/can/frames/{frame_id}/decoded,decoded_api_v1_can_frames__frame_id__decoded_get,False,"200,422"
GET,/api/v1/can/statistics,statistics_api_v1_can_statistics_get,False,200
GET,/api/v1/can/statistics/monitor,monitor_statistics_api_v1_can_statistics_monitor_get,False,200
GET,/api/v1/config,get_config_api_v1_config_get,False,200
PUT,/api/v1/config,put_config_api_v1_config_put,True,"200,422"
GET,/api/v1/config/channels,channels_config_api_v1_config_channels_get,False,200
PUT,/api/v1/config/channels,update_channels_api_v1_config_channels_put,True,"200,422"
POST,/api/v1/config/channels/restore-defaults,restore_channels_defaults_api_v1_config_channels_restore_defaults_post,False,200
GET,/api/v1/config/export,export_config_api_v1_config_export_get,False,"200,422"
GET,/api/v1/config/history,config_history_api_v1_config_history_get,False,200
POST,/api/v1/config/import,import_config_api_v1_config_import_post,True,"200,422"
POST,/api/v1/config/restore-safe-defaults,restore_safe_defaults_api_v1_config_restore_safe_defaults_post,True,"200,422"
GET,/api/v1/config/system-dashboard,system_dashboard_api_v1_config_system_dashboard_get,False,200
POST,/api/v1/control/121/preview,control_preview_api_v1_control_121_preview_post,True,"200,422"
POST,/api/v1/control/121/send-once,send_once_api_v1_control_121_send_once_post,True,"200,422"
POST,/api/v1/control/121/start-periodic,start_periodic_api_v1_control_121_start_periodic_post,True,"200,422"
POST,/api/v1/control/121/stop,stop_api_v1_control_121_stop_post,False,200
POST,/api/v1/control/emergency-stop,emergency_stop_api_v1_control_emergency_stop_post,False,200
POST,/api/v1/control/emergency-stop/release,release_api_v1_control_emergency_stop_release_post,False,200
GET,/api/v1/control/interlock-status,interlock_status_api_v1_control_interlock_status_get,False,200
GET,/api/v1/control/manual-curves,manual_curves_api_v1_control_manual_curves_get,False,200
GET,/api/v1/control/manual-feedback,manual_feedback_api_v1_control_manual_feedback_get,False,200
POST,/api/v1/control/reset-defaults,reset_defaults_api_v1_control_reset_defaults_post,False,200
POST,/api/v1/control/safe-stop,safe_stop_api_v1_control_safe_stop_post,False,200
GET,/api/v1/control/status,status_api_v1_control_status_get,False,200
GET,/api/v1/dbc/messages,messages_api_v1_dbc_messages_get,False,200
GET,/api/v1/dbc/messages/{can_id},message_api_v1_dbc_messages__can_id__get,False,"200,422"
POST,/api/v1/dbc/reload,reload_api_v1_dbc_reload_post,False,200
GET,/api/v1/dbc/status,status_api_v1_dbc_status_get,False,200
GET,/api/v1/eol/dashboard,dashboard_api_v1_eol_dashboard_get,False,200
POST,/api/v1/eol/sessions,create_api_v1_eol_sessions_post,True,"200,422"
GET,/api/v1/eol/sessions/{sid},get_api_v1_eol_sessions__sid__get,False,"200,422"
POST,/api/v1/eol/sessions/{sid}/abort,abort_api_v1_eol_sessions__sid__abort_post,False,"200,422"
GET,/api/v1/eol/sessions/{sid}/assertions,assertions_api_v1_eol_sessions__sid__assertions_get,False,"200,422"
GET,/api/v1/eol/sessions/{sid}/charts,charts_api_v1_eol_sessions__sid__charts_get,False,"200,422"
POST,/api/v1/eol/sessions/{sid}/emergency-stop,emergency_stop_api_v1_eol_sessions__sid__emergency_stop_post,False,"200,422"
GET,/api/v1/eol/sessions/{sid}/logs,logs_api_v1_eol_sessions__sid__logs_get,False,"200,422"
POST,/api/v1/eol/sessions/{sid}/pause,pause_api_v1_eol_sessions__sid__pause_post,False,"200,422"
POST,/api/v1/eol/sessions/{sid}/report,report_api_v1_eol_sessions__sid__report_post,False,"200,422"
POST,/api/v1/eol/sessions/{sid}/resume,resume_api_v1_eol_sessions__sid__resume_post,False,"200,422"
POST,/api/v1/eol/sessions/{sid}/start,start_api_v1_eol_sessions__sid__start_post,False,"200,422"
GET,/api/v1/health,health_api_v1_health_get,False,200
GET,/api/v1/history/dashboard,dashboard_api_v1_history_dashboard_get,False,"200,422"
POST,/api/v1/history/export,export_history_api_v1_history_export_post,True,"200,422"
GET,/api/v1/history/statistics,statistics_api_v1_history_statistics_get,False,200
POST,/api/v1/logs/export/csv,export_csv_api_v1_logs_export_csv_post,False,200
POST,/api/v1/logs/export/raw-can,export_raw_can_api_v1_logs_export_raw_can_post,False,200
POST,/api/v1/logs/load-history,load_history_api_v1_logs_load_history_post,False,200
GET,/api/v1/logs/raw-can-files,raw_can_files_api_v1_logs_raw_can_files_get,False,200
DELETE,/api/v1/logs/raw-can-files/{file_id},delete_raw_can_file_api_v1_logs_raw_can_files__file_id__delete,False,"200,422"
POST,/api/v1/maintenance/enter,enter_maintenance_api_v1_maintenance_enter_post,True,"200,422"
POST,/api/v1/maintenance/exit,exit_maintenance_api_v1_maintenance_exit_post,True,"200,422"
PUT,/api/v1/maintenance/features,maintenance_features_api_v1_maintenance_features_put,True,"200,422"
GET,/api/v1/overview/summary,overview_api_v1_overview_summary_get,False,200
GET,/api/v1/reports,reports_api_v1_reports_get,False,"200,422"
POST,/api/v1/reports/change-directory,change_directory_api_v1_reports_change_directory_post,True,"200,422"
GET,/api/v1/reports/dashboard,dashboard_api_v1_reports_dashboard_get,False,200
POST,/api/v1/reports/open-directory,open_directory_api_v1_reports_open_directory_post,False,200
POST,/api/v1/reports/scan,scan_api_v1_reports_scan_post,False,200
GET,/api/v1/reports/storage-stats,storage_stats_api_v1_reports_storage_stats_get,False,200
DELETE,/api/v1/reports/{rid},delete_api_v1_reports__rid__delete,False,"200,422"
POST,/api/v1/reports/{rid}/export-pdf,export_pdf_api_v1_reports__rid__export_pdf_post,False,"200,422"
POST,/api/v1/reports/{rid}/export-word,export_word_api_v1_reports__rid__export_word_post,False,"200,422"
GET,/api/v1/reports/{rid}/preview,preview_api_v1_reports__rid__preview_get,False,"200,422"
POST,/api/v1/reports/{rid}/print,print_report_api_v1_reports__rid__print_post,False,"200,422"
POST,/api/v1/reports/{rid}/regenerate,regenerate_api_v1_reports__rid__regenerate_post,False,"200,422"
GET,/api/v1/reports/{rid}/related-data,related_data_api_v1_reports__rid__related_data_get,False,"200,422"
GET,/api/v1/signals/current,current_api_v1_signals_current_get,False,200
GET,/api/v1/signals/curve-config,curve_config_api_v1_signals_curve_config_get,False,200
PUT,/api/v1/signals/curve-selection,curve_selection_api_v1_signals_curve_selection_put,True,"200,422"
GET,/api/v1/signals/dashboard,dashboard_api_v1_signals_dashboard_get,False,200
PUT,/api/v1/signals/dashboard-layout,save_dashboard_layout_api_v1_signals_dashboard_layout_put,True,"200,422"
POST,/api/v1/signals/dashboard-layout/reset,reset_dashboard_layout_api_v1_signals_dashboard_layout_reset_post,False,200
POST,/api/v1/signals/export-csv,export_csv_api_v1_signals_export_csv_post,True,"200,422"
POST,/api/v1/signals/snapshot,snapshot_api_v1_signals_snapshot_post,False,200
GET,/api/v1/signals/threshold-status,thresholds_api_v1_signals_threshold_status_get,False,200
GET,/api/v1/signals/timeseries,timeseries_api_v1_signals_timeseries_get,False,"200,422"
GET,/api/v1/signals/watchlist,watchlist_api_v1_signals_watchlist_get,False,200
POST,/api/v1/signals/watchlist,post_watchlist_api_v1_signals_watchlist_post,True,"200,422"
PUT,/api/v1/signals/watchlist,put_watchlist_api_v1_signals_watchlist_put,True,"200,422"
POST,/api/v1/storage/cleanup,storage_cleanup_api_v1_storage_cleanup_post,True,"200,422"
GET,/api/v1/storage/stats,storage_stats_api_v1_storage_stats_get,False,200
GET,/api/v1/storage/trend,storage_trend_api_v1_storage_trend_get,False,"200,422"
GET,/api/v1/system/version,system_version_api_v1_system_version_get,False,200
GET,/api/v1/test-sessions,sessions_api_v1_test_sessions_get,False,"200,422"
GET,/api/v1/test-sessions/{sid},session_api_v1_test_sessions__sid__get,False,"200,422"
GET,/api/v1/test-sessions/{sid}/download/{file_type},session_download_api_v1_test_sessions__sid__download__file_type__get,False,"200,422"
GET,/api/v1/test-sessions/{sid}/downloads,session_downloads_api_v1_test_sessions__sid__downloads_get,False,"200,422"
GET,/api/v1/test-sessions/{sid}/fault-events,fault_events_api_v1_test_sessions__sid__fault_events_get,False,"200,422"
POST,/api/v1/test-sessions/{sid}/open-detail,open_detail_api_v1_test_sessions__sid__open_detail_post,False,"200,422"
GET,/api/v1/test-sessions/{sid}/operator-actions,session_operator_actions_api_v1_test_sessions__sid__operator_actions_get,False,"200,422"
GET,/api/v1/test-sessions/{sid}/replay,replay_api_v1_test_sessions__sid__replay_get,False,"200,422"
POST,/api/v1/test-sessions/{sid}/replay/seek,replay_seek_api_v1_test_sessions__sid__replay_seek_post,True,"200,422"
GET,/api/v1/test-sessions/{sid}/timeline,timeline_api_v1_test_sessions__sid__timeline_get,False,"200,422"
