id,session_id,timestamp_utc,channel,direction,can_id_hex,is_extended,is_remote,dlc,data_hex,packet_hex,source_ip,source_port,parse_status,error_code,message_name,period_ms,created_at
86783,EOL-0B96CC1113B6,2026-07-10T10:08:56.074956+00:00,CAN2,rx,0x51,0,0,8,80 00 00 01 00 00 00 00,08 00 00 00 51 80 00 00 01 00 00 00 00,127.0.0.1:53443,,ok,,VCU_CCU_Status,,2026-07-10 10:08:56
86784,EOL-0B96CC1113B6,2026-07-10T10:08:56.075055+00:00,CAN2,rx,0x77,0,0,8,00 00 00 00 00 00 00 00,08 00 00 00 77 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,VCU_Warning_Level,,2026-07-10 10:08:56
86785,EOL-0B96CC1113B6,2026-07-10T10:08:56.080250+00:00,CAN2,rx,0x168,0,0,8,00 00 14 14 14 14 00 00,08 00 00 01 68 00 00 14 14 14 14 00 00,127.0.0.1:53443,,ok,,VCU_Wheel_Speed_Feedback,,2026-07-10 10:08:56
86786,EOL-0B96CC1113B6,2026-07-10T10:08:56.080287+00:00,CAN2,rx,0xE1,0,0,8,00 00 00 00 00 00 00 00,08 00 00 00 E1 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,SAS_Angle_Feedback,,2026-07-10 10:08:56
86787,EOL-0B96CC1113B6,2026-07-10T10:08:56.080300+00:00,CAN1,rx,0x51,0,0,8,80 00 00 01 00 00 00 00,08 00 00 00 51 80 00 00 01 00 00 00 00,127.0.0.1:53443,,ok,,VCU_CCU_Status,,2026-07-10 10:08:56
86788,EOL-0B96CC1113B6,2026-07-10T10:08:56.080373+00:00,CAN1,rx,0x77,0,0,8,00 00 00 00 00 00 00 00,08 00 00 00 77 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,VCU_Warning_Level,,2026-07-10 10:08:56
86789,EOL-0B96CC1113B6,2026-07-10T10:08:56.083786+00:00,CAN2,rx,0x703,0,0,8,01 00 00 00 00 00 00 00,08 00 00 07 03 01 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,Heartbeat_R,,2026-07-10 10:08:56
86790,EOL-0B96CC1113B6,2026-07-10T10:08:56.083809+00:00,CAN2,rx,0x704,0,0,8,01 00 00 00 00 00 00 00,08 00 00 07 04 01 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,Heartbeat_F,,2026-07-10 10:08:56
86791,EOL-0B96CC1113B6,2026-07-10T10:08:56.083821+00:00,CAN1,rx,0x168,0,0,8,00 00 14 14 14 14 00 00,08 00 00 01 68 00 00 14 14 14 14 00 00,127.0.0.1:53443,,ok,,VCU_Wheel_Speed_Feedback,,2026-07-10 10:08:56
86792,EOL-0B96CC1113B6,2026-07-10T10:08:56.083844+00:00,CAN1,rx,0xE1,0,0,8,00 00 00 00 00 00 00 00,08 00 00 00 E1 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,SAS_Angle_Feedback,,2026-07-10 10:08:56
86793,EOL-0B96CC1113B6,2026-07-10T10:08:56.087691+00:00,CAN2,rx,0x100,0,0,8,02 08 00 0C 56 00 00 00,08 00 00 01 00 02 08 00 0C 56 00 00 00,127.0.0.1:53443,,ok,,BMS_Status,,2026-07-10 10:08:56
86794,EOL-0B96CC1113B6,2026-07-10T10:08:56.087725+00:00,CAN2,rx,0x101,0,0,8,02 56 00 00 00 00 00 00,08 00 00 01 01 02 56 00 00 00 00 00 00,127.0.0.1:53443,,ok,,BMS_Capacity,,2026-07-10 10:08:56
86795,EOL-0B96CC1113B6,2026-07-10T10:08:56.087756+00:00,CAN1,rx,0x703,0,0,8,01 00 00 00 00 00 00 00,08 00 00 07 03 01 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,Heartbeat_R,,2026-07-10 10:08:56
86796,EOL-0B96CC1113B6,2026-07-10T10:08:56.087768+00:00,CAN1,rx,0x704,0,0,8,01 00 00 00 00 00 00 00,08 00 00 07 04 01 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,Heartbeat_F,,2026-07-10 10:08:56
86797,EOL-0B96CC1113B6,2026-07-10T10:08:56.089827+00:00,CAN2,rx,0x102,0,0,8,00 00 00 00 00 00 00 00,08 00 00 01 02 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,BMS_Protect_Status,,2026-07-10 10:08:56
86798,EOL-0B96CC1113B6,2026-07-10T10:08:56.089988+00:00,CAN2,rx,0x103,0,0,8,41 42 40 00 00 00 00 00,08 00 00 01 03 41 42 40 00 00 00 00 00,127.0.0.1:53443,,ok,,BMS_NTC,,2026-07-10 10:08:56
86799,EOL-0B96CC1113B6,2026-07-10T10:08:56.092070+00:00,CAN2,rx,0x104,0,0,8,21 22 21 22 21 22 00 00,08 00 00 01 04 21 22 21 22 21 22 00 00,127.0.0.1:53443,,ok,,BMS_Cell_Part1,,2026-07-10 10:08:56
86800,EOL-0B96CC1113B6,2026-07-10T10:08:56.092101+00:00,CAN2,rx,0x105,0,0,8,21 22 21 22 21 22 00 00,08 00 00 01 05 21 22 21 22 21 22 00 00,127.0.0.1:53443,,ok,,BMS_Cell_Part2,,2026-07-10 10:08:56
86801,EOL-0B96CC1113B6,2026-07-10T10:08:56.093095+00:00,CAN2,rx,0x7F1,0,0,8,00 00 00 00 00 00 00 00,08 00 00 07 F1 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,SCU_Target_Speed_Feedback,,2026-07-10 10:08:56
86802,EOL-0B96CC1113B6,2026-07-10T10:08:56.135249+00:00,CAN2,rx,0x51,0,0,8,80 00 00 01 00 00 00 00,08 00 00 00 51 80 00 00 01 00 00 00 00,127.0.0.1:53443,,ok,,VCU_CCU_Status,,2026-07-10 10:08:56
86803,EOL-0B96CC1113B6,2026-07-10T10:08:56.135339+00:00,CAN2,rx,0x77,0,0,8,00 00 00 00 00 00 00 00,08 00 00 00 77 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,VCU_Warning_Level,,2026-07-10 10:08:56
86804,EOL-0B96CC1113B6,2026-07-10T10:08:56.139223+00:00,CAN1,rx,0x51,0,0,8,80 00 00 01 00 00 00 00,08 00 00 00 51 80 00 00 01 00 00 00 00,127.0.0.1:53443,,ok,,VCU_CCU_Status,,2026-07-10 10:08:56
86805,EOL-0B96CC1113B6,2026-07-10T10:08:56.139309+00:00,CAN1,rx,0x77,0,0,8,00 00 00 00 00 00 00 00,08 00 00 00 77 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,VCU_Warning_Level,,2026-07-10 10:08:56
86806,EOL-0B96CC1113B6,2026-07-10T10:08:56.139352+00:00,CAN2,rx,0x168,0,0,8,00 00 14 14 14 14 00 00,08 00 00 01 68 00 00 14 14 14 14 00 00,127.0.0.1:53443,,ok,,VCU_Wheel_Speed_Feedback,,2026-07-10 10:08:56
86807,EOL-0B96CC1113B6,2026-07-10T10:08:56.139374+00:00,CAN2,rx,0xE1,0,0,8,00 00 00 00 00 00 00 00,08 00 00 00 E1 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,SAS_Angle_Feedback,,2026-07-10 10:08:56
86808,EOL-0B96CC1113B6,2026-07-10T10:08:56.145009+00:00,CAN1,rx,0x168,0,0,8,00 00 14 14 14 14 00 00,08 00 00 01 68 00 00 14 14 14 14 00 00,127.0.0.1:53443,,ok,,VCU_Wheel_Speed_Feedback,,2026-07-10 10:08:56
86809,EOL-0B96CC1113B6,2026-07-10T10:08:56.145042+00:00,CAN1,rx,0xE1,0,0,8,00 00 00 00 00 00 00 00,08 00 00 00 E1 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,SAS_Angle_Feedback,,2026-07-10 10:08:56
86810,EOL-0B96CC1113B6,2026-07-10T10:08:56.145055+00:00,CAN2,rx,0x703,0,0,8,01 00 00 00 00 00 00 00,08 00 00 07 03 01 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,Heartbeat_R,,2026-07-10 10:08:56
86811,EOL-0B96CC1113B6,2026-07-10T10:08:56.145067+00:00,CAN2,rx,0x704,0,0,8,01 00 00 00 00 00 00 00,08 00 00 07 04 01 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,Heartbeat_F,,2026-07-10 10:08:56
86812,EOL-0B96CC1113B6,2026-07-10T10:08:56.148790+00:00,CAN1,rx,0x703,0,0,8,01 00 00 00 00 00 00 00,08 00 00 07 03 01 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,Heartbeat_R,,2026-07-10 10:08:56
86813,EOL-0B96CC1113B6,2026-07-10T10:08:56.148813+00:00,CAN1,rx,0x704,0,0,8,01 00 00 00 00 00 00 00,08 00 00 07 04 01 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,Heartbeat_F,,2026-07-10 10:08:56
86814,EOL-0B96CC1113B6,2026-07-10T10:08:56.148825+00:00,CAN2,rx,0x100,0,0,8,02 08 00 0C 56 00 00 00,08 00 00 01 00 02 08 00 0C 56 00 00 00,127.0.0.1:53443,,ok,,BMS_Status,,2026-07-10 10:08:56
86815,EOL-0B96CC1113B6,2026-07-10T10:08:56.148847+00:00,CAN2,rx,0x101,0,0,8,02 56 00 00 00 00 00 00,08 00 00 01 01 02 56 00 00 00 00 00 00,127.0.0.1:53443,,ok,,BMS_Capacity,,2026-07-10 10:08:56
86816,EOL-0B96CC1113B6,2026-07-10T10:08:56.151044+00:00,CAN2,rx,0x102,0,0,8,00 00 00 00 00 00 00 00,08 00 00 01 02 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,BMS_Protect_Status,,2026-07-10 10:08:56
86817,EOL-0B96CC1113B6,2026-07-10T10:08:56.151202+00:00,CAN2,rx,0x103,0,0,8,41 42 40 00 00 00 00 00,08 00 00 01 03 41 42 40 00 00 00 00 00,127.0.0.1:53443,,ok,,BMS_NTC,,2026-07-10 10:08:56
86818,EOL-0B96CC1113B6,2026-07-10T10:08:56.154027+00:00,CAN2,rx,0x104,0,0,8,21 22 21 22 21 22 00 00,08 00 00 01 04 21 22 21 22 21 22 00 00,127.0.0.1:53443,,ok,,BMS_Cell_Part1,,2026-07-10 10:08:56
86819,EOL-0B96CC1113B6,2026-07-10T10:08:56.154058+00:00,CAN2,rx,0x105,0,0,8,21 22 21 22 21 22 00 00,08 00 00 01 05 21 22 21 22 21 22 00 00,127.0.0.1:53443,,ok,,BMS_Cell_Part2,,2026-07-10 10:08:56
86820,EOL-0B96CC1113B6,2026-07-10T10:08:56.155158+00:00,CAN2,rx,0x7F1,0,0,8,00 00 00 00 00 00 00 00,08 00 00 07 F1 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,SCU_Target_Speed_Feedback,,2026-07-10 10:08:56
86821,EOL-0B96CC1113B6,2026-07-10T10:08:56.195806+00:00,CAN2,rx,0x51,0,0,8,80 00 00 01 00 00 00 00,08 00 00 00 51 80 00 00 01 00 00 00 00,127.0.0.1:53443,,ok,,VCU_CCU_Status,,2026-07-10 10:08:56
86822,EOL-0B96CC1113B6,2026-07-10T10:08:56.195894+00:00,CAN2,rx,0x77,0,0,8,00 00 00 00 00 00 00 00,08 00 00 00 77 00 00 00 00 00 00 00 00,127.0.0.1:53443,,ok,,VCU_Warning_Level,,2026-07-10 10:08:56
